Desalination,2008,220
Desalination,2009,303
Desalination,2010,343
Desalination,2011,277
Desalination,2012,328
Desalination,2013,300
Desalination,2014,326
Desalination,2015,461
Desalination,2016,281
Photovoltaic energy,2001,350
Photovoltaic energy,2002,309
Photovoltaic energy,2003,303
Photovoltaic energy,2004,385
Photovoltaic energy,2005,671
Photovoltaic energy,2006,1359
Photovoltaic energy,2007,2470
Photovoltaic energy,2008,3361
Photovoltaic energy,2009,3769
Photovoltaic energy,2010,4714
Photovoltaic energy,2011,5028
Photovoltaic energy,2012,3867
Photovoltaic energy,2013,3204
Photovoltaic energy,2014,2943
Photovoltaic energy,2015,2843
Photovoltaic energy,2016,2577
solarthermal energy,2001,1
solarthermal energy,2002,0
solarthermal energy,2003,0
solarthermal energy,2004,0
solarthermal energy,2005,0
solarthermal energy,2006,17
solarthermal energy,2007,27
solarthermal energy,2008,38
solarthermal energy,2009,42
solarthermal energy,2010,76
solarthermal energy,2011,45
solarthermal energy,2012,33
solarthermal energy,2013,17
solarthermal energy,2014,8
solarthermal energy,2015,16
solarthermal energy,2016,5
geothermal energy,2001,58
geothermal energy,2002,26
geothermal energy,2003,37
geothermal energy,2004,36
geothermal energy,2005,51
geothermal energy,2006,115
geothermal energy,2007,202
geothermal energy,2008,254
geothermal energy,2009,307
geothermal energy,2010,265
geothermal energy,2011,270
geothermal energy,2012,185
geothermal energy,2013,175
geothermal energy,2014,142
geothermal energy,2015,164
geothermal energy,2016,132
wind energy,2001,324
wind energy,2002,359
wind energy,2003,536
wind energy,2004,755
wind energy,2005,1068
wind energy,2006,1392
wind energy,2007,2278
wind energy,2008,3824
wind energy,2009,4826
wind energy,2010,5069
wind energy,2011,4141
wind energy,2012,3874
wind energy,2013,2988
wind energy,2014,2607
wind energy,2015,2182
wind energy,2016,2163
biomass,2001,199
biomass,2002,175
biomass,2003,164
biomass,2004,230
biomass,2005,404
biomass,2006,692
biomass,2007,1182
biomass,2008,1319
biomass,2009,1509
biomass,2010,1789
biomass,2011,1837
biomass,2012,1285
biomass,2013,1176
biomass,2014,1047
biomass,2015,844
biomass,2016,851
Enviromatics,2001,0
Enviromatics,2002,0
Enviromatics,2003,0
Enviromatics,2004,0
Enviromatics,2005,0
Enviromatics,2006,0
Enviromatics,2007,0
Enviromatics,2008,0
Enviromatics,2009,1
Enviromatics,2010,0
Enviromatics,2011,1
Enviromatics,2012,0
Enviromatics,2013,2
Enviromatics,2014,0
Enviromatics,2015,2
Enviromatics,2016,0
biofuel,2001,157
biofuel,2002,140
biofuel,2003,174
biofuel,2004,197
biofuel,2005,735
biofuel,2006,1927
biofuel,2007,3964
biofuel,2008,3799
biofuel,2009,2767
biofuel,2010,2571
biofuel,2011,2558
biofuel,2012,2126
biofuel,2013,1847
biofuel,2014,1504
biofuel,2015,1350
biofuel,2016,991
natural gas,2001,8483
natural gas,2002,5178
natural gas,2003,5755
natural gas,2004,7041
natural gas,2005,10803
natural gas,2006,11865
natural gas,2007,11537
natural gas,2008,12663
natural gas,2009,10738
natural gas,2010,13393
natural gas,2011,16070
natural gas,2012,16265
natural gas,2013,15054
natural gas,2014,14082
natural gas,2015,11166
natural gas,2016,10601
bioplastic,2001,0
bioplastic,2002,4
bioplastic,2003,3
bioplastic,2004,1
bioplastic,2005,2
bioplastic,2006,10
bioplastic,2007,54
bioplastic,2008,69
bioplastic,2009,59
bioplastic,2010,105
bioplastic,2011,121
bioplastic,2012,101
bioplastic,2013,139
bioplastic,2014,78
bioplastic,2015,68
bioplastic,2016,91
HEV,2001,164
HEV,2002,139
HEV,2003,218
HEV,2004,454
HEV,2005,860
HEV,2006,940
HEV,2007,1215
HEV,2008,1358
HEV,2009,1122
HEV,2010,1038
HEV,2011,867
HEV,2012,771
HEV,2013,612
HEV,2014,491
HEV,2015,446
HEV,2016,417
Green concrete,2001,0
Green concrete,2002,0
Green concrete,2003,3
Green concrete,2004,0
Green concrete,2005,5
Green concrete,2006,4
Green concrete,2007,3
Green concrete,2008,6
Green concrete,2009,9
Green concrete,2010,5
Green concrete,2011,3
Green concrete,2012,1
Green concrete,2013,4
Green concrete,2014,3
Green concrete,2015,2
Green concrete,2016,4
Liquid battery,2001,0
Liquid battery,2002,0
Liquid battery,2003,0
Liquid battery,2004,0
Liquid battery,2005,0
Liquid battery,2006,0
Liquid battery,2007,0
Liquid battery,2008,0
Liquid battery,2009,1
Liquid battery,2010,0
Liquid battery,2011,2
Liquid battery,2012,5
Liquid battery,2013,0
Liquid battery,2014,3
Liquid battery,2015,3
Liquid battery,2016,4
Hydropower,2001,183
Hydropower,2002,123
Hydropower,2003,88
Hydropower,2004,145
Hydropower,2005,167
Hydropower,2006,222
Hydropower,2007,302
Hydropower,2008,380
Hydropower,2009,454
Hydropower,2010,494
Hydropower,2011,777
Hydropower,2012,653
Hydropower,2013,848
Hydropower,2014,533
Hydropower,2015,543
Hydropower,2016,532
